Ürün,Kod,2022 Ağırlık,Grup,2024 Ağırlık
Pirinç,01111,0.2565770563542397,Pirinç,0.301431590684286
Buğday Unu,01112,0.5155139758704976,Un ve diğer tahıllar,0.3759469797486914
Bebek Sütü (Toz Karışım),01112,0.12681427991125999,Un ve diğer tahıllar,0.09248138314996895
Bulgur,01112,0.15075978658279768,Un ve diğer tahıllar,0.10994403466492651
Ekmek,01113,2.5399195041366185,Ekmek,2.192377526300051
Bisküvi,01114,0.27927426488552787,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.25557287018449315
Kraker,01114,0.05732537697522777,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.05246029788663936
Gofret,01114,0.14920917604171016,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.136546120332548
Pasta,01114,0.2786361307204941,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.2549888930672771
Kek,01114,0.07824673799987825,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.07160610886004778
Baklava,01114,0.34701839835708476,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.31756770754118213
Ekmek Hamuru (Yufka),01114,0.10165728198682684,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.09302985129394946
Makarna,01115,0.198219579942513,Makarna çeşitleri,0.19673470496332593
Şehriye,01115,0.027813844818013994,Makarna çeşitleri,0.027605489607811055
Tahıl Gevreği,01116,0.031192660228870316,Kahvaltılık tahıl ürünleri,0.0379482217147521
Dana Eti,01122,2.152781593330608,Dana eti,2.2780566792519
Kuzu Eti,01124,0.9154981622180907,Kuzu eti,0.919228300083777
Tavuk Eti,01125,1.4030656957109862,Tavuk eti,1.419933767909658
Sakatat,01126,0.05741082756036366,Diğer etler ve yenilebilir sakatatlar,0.0773839699047235
Sucuk,01127,0.4298311573717566,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.4409808981250908
Sosis,01127,0.047013082172635785,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.04823259283222887
Salam,01127,0.08307873207534565,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.08523377902545462
Hazır Et Yemekleri,01127,0.10106144422685465,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.10368295940545862
Balık,01131,0.3767894666874697,Taze balık,0.2699378879978683
Konserve Balık,01133,0.02694695535980476,Konserve edilmiş veya işlenmiş balık,0.0305081744851749
Süt,01141,0.7458693641754542,Süt,0.6268070087418973
Yoğurt,01143,0.5875702846978449,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",0.5188637383735745
Hazır Sütlü Tatlılar,01143,0.028428201814694527,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",0.025103997688372105
Beyaz Peynir,01144,0.8288469814896153,Peynir,0.8152292032583713
Kaşar Peyniri,01144,0.3883564933852076,Peynir,0.38197587944838823
Tulum Peyniri,01144,0.1601773474087074,Peynir,0.15754566792697663
Krem Peynir,01144,0.06246390165543314,Peynir,0.061437633141221776
Yumurta,01145,0.8134349377335438,Yumurta,0.684395925139355
Tereyağı (Kahvaltılık),01151,0.33202799405498096,Tereyağı,0.330003542056174
Margarin,01152,0.12224653380124882,Margarin,0.0723052019235215
Zeytinyağı,01153,0.42052788733264884,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",0.33739204385816807
Ayçiçek Yağı,01153,0.870789079102184,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",0.69863929603141
Portakal,01161,0.15742451257415813,Taze meyveler,0.179286893894472
Üzüm,01161,0.13383143940403944,Taze meyveler,0.15241732487419005
Armut,01161,0.05146149912476797,Taze meyveler,0.05860823185897724
Ayva,01161,0.019092303149529345,Taze meyveler,0.02174375307249743
Çilek,01161,0.07123999098731651,Taze meyveler,0.08113346832926956
Elma,01161,0.2151667591971279,Taze meyveler,0.2450481141405508
Karpuz,01161,0.22106854949870058,Taze meyveler,0.25176951752483656
Kavun,01161,0.10161677732835132,Taze meyveler,0.11572884093374008
Kivi,01161,0.015268118070283594,Taze meyveler,0.017388483023860136
Limon,01161,0.10789264838222479,Taze meyveler,0.1228762756586922
Mandalina,01161,0.14907987288272223,Taze meyveler,0.1697833896022716
Muz,01161,0.2950495349443197,Taze meyveler,0.3360246368255807
Nar,01161,0.026314160102029933,Taze meyveler,0.0299685478010445
Şeftali,01161,0.07028628426298256,Taze meyveler,0.08004731526774073
Badem İçi,01162,0.047179218557763886,Kuru meyve ve sert kabuklu yemişler,0.044417697528566835
Ceviz İçi,01162,0.21618962463617608,Kuru meyve ve sert kabuklu yemişler,0.20353548976541586
Fındık İçi,01162,0.0786982111476174,Kuru meyve ve sert kabuklu yemişler,0.074091802400549
Antep Fıstığı,01162,0.05255919622143574,Kuru meyve ve sert kabuklu yemişler,0.049482771259765745
Yer Fıstığı,01162,0.10221072853227277,Kuru meyve ve sert kabuklu yemişler,0.09622807165749132
Leblebi,01162,0.04264772704050682,Kuru meyve ve sert kabuklu yemişler,0.04015144586692993
Ay Çekirdeği,01162,0.19305093683594024,Kuru meyve ve sert kabuklu yemişler,0.1817511688856525
Kabak Çekirdeği,01162,0.03652444593813957,Kuru meyve ve sert kabuklu yemişler,0.034386576159426474
Kuru Üzüm,01162,0.03826203793950746,Kuru meyve ve sert kabuklu yemişler,0.036022462431055176
Kuru Kayısı,01162,0.03774280562690415,Kuru meyve ve sert kabuklu yemişler,0.03553362212141684
Çarliston Biber,01171,0.04617923472597308,Taze sebzeler (patates hariç),0.05427123913419524
Dolmalık Biber,01171,0.04372038660900378,Taze sebzeler (patates hariç),0.051381526150804206
Sivri Biber,01171,0.15463054773387114,Taze sebzeler (patates hariç),0.18172651589647318
Dereotu,01171,0.011560255269604053,Taze sebzeler (patates hariç),0.013585963083016465
Domates,01171,0.67486798659938,Taze sebzeler (patates hariç),0.7931253538973853
Taze Fasulye,01171,0.10320838693789323,Taze sebzeler (patates hariç),0.1212936308147737
Havuç,01171,0.06659744012609986,Taze sebzeler (patates hariç),0.07826733423055128
Ispanak,01171,0.06122247687484229,Taze sebzeler (patates hariç),0.07195051417760995
Kabak,01171,0.05094851367239002,Taze sebzeler (patates hariç),0.059876240597181746
Karnabahar,01171,0.040346270505727116,Taze sebzeler (patates hariç),0.04741616243280231
Kuru Soğan,01171,0.22643334864042544,Taze sebzeler (patates hariç),0.26611134820537424
Beyaz Lahana,01171,0.03580794767870763,Taze sebzeler (patates hariç),0.04208258761557343
Kırmızı Lahana,01171,0.013959254107380109,Taze sebzeler (patates hariç),0.01640533937584994
Mantar,01171,0.04994548140813159,Taze sebzeler (patates hariç),0.058697446617682
Kıvırcık,01171,0.06650881477348278,Taze sebzeler (patates hariç),0.07816317902456367
Maydanoz,01171,0.05124045468058626,Taze sebzeler (patates hariç),0.06021933853639434
Nane,01171,0.007849132414631452,Taze sebzeler (patates hariç),0.009224538795374129
Patlıcan,01171,0.14634491269331462,Taze sebzeler (patates hariç),0.17198898595832984
Pırasa,01171,0.03599891258472756,Taze sebzeler (patates hariç),0.042307015372818564
