Ürün,Kod,2022 Ağırlık,Grup,2024 Ağırlık
Roka,01171,0.014551488446982872,Taze sebzeler (patates hariç),0.01710135115817569
Salatalık,01171,0.2688011314025102,Taze sebzeler (patates hariç),0.31590325323608903
Sarımsak,01171,0.05118413250082151,Taze sebzeler (patates hariç),0.06015314700020476
Kırmızı Turp,01171,0.014617322609968857,Taze sebzeler (patates hariç),0.017178721465930108
Patates,01172,0.29900105049530723,Patates,0.266892946022815
Kuru Fasulye,01174,0.10189198360848287,Kuru baklagiller,0.09929407853449257
Nohut,01174,0.06453073516668596,Kuru baklagiller,0.06288541707216316
Mercimek,01174,0.11960645464302272,Kuru baklagiller,0.11655688975680895
Konserveler,01175,0.02389036410066123,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.029021223283802716
Turşu,01175,0.028007986575689002,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.03402317472927599
Salça,01175,0.16385797098798982,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.19904923771093563
Zeytin,01175,0.3747263333931393,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.45520514237043375
Cipsler,01175,0.1307887620098401,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.15887785758755552
Toz Şeker,01181,0.3259043550335031,Şeker,0.3261583420954531
Kesme Şeker,01181,0.050717748930973784,Şeker,0.050757274797507135
Reçel,01182,0.035329788576935986,"Reçel, marmelat, bal vb. ürünler",0.028962295121956187
Bal,01182,0.15208715683209284,"Reçel, marmelat, bal vb. ürünler",0.12467646419219863
Pekmez,01182,0.05316872630017819,"Reçel, marmelat, bal vb. ürünler",0.04358611824157774
Tahin Helvası,01182,0.05818645524870717,"Reçel, marmelat, bal vb. ürünler",0.0476995010978836
Fındık Ezmesi,01182,0.014976157349932996,"Reçel, marmelat, bal vb. ürünler",0.012277002111605323
Çikolata Tablet,01183,0.19123745066629108,Çikolata ve şekerlemeler,0.2391803472677943
Çikolata Krem,01183,0.1151240601590824,Çikolata ve şekerlemeler,0.14398546200961967
Lokum,01183,0.04834358275419781,Çikolata ve şekerlemeler,0.06046323495231854
Sakız,01183,0.028887978327133086,Çikolata ve şekerlemeler,0.03613014430005741
Kağıtlı Şeker,01183,0.11113822876013929,Çikolata ve şekerlemeler,0.13900038960445749
Dondurma,01184,0.15661007904346338,Dondurma,0.117661560560817
Baharat,01190,0.11522280466004875,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.13339844932225015
Tuz,01190,0.032025938261238805,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.03707782079028564
Kabartma Maddeleri,01190,0.01817078424189268,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.021037106742794992
Sirke,01190,0.02458142044308959,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.02845897892280157
Ketçap,01190,0.02184077385462537,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.02528601324018262
Mayonez,01190,0.016252466887858995,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.018816187358901677
Tahin,01190,0.04133066786148355,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.04785031069536659
Hazır Çorbalar,01190,0.030419637415863975,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.03521813648082777
Hazır Pakette Toz Tatlılar (Puding),01190,0.019510832901217502,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.022588539323330617
Kahve,01211,0.11694797601641244,Kahve,0.10217740092108
Hazır Kahve,01211,0.07883250825328073,Kahve,0.068875931638863
Çay,01212,0.5467115981521996,Çay ve bitki çayları,0.6243136334596633
Bitki ve Meyve Çayı (Poşet),01212,0.009076700431807914,Çay ve bitki çayları,0.01036507702700928
Kakao,01213,0.004506011726806403,Toz kakao,0.004182098772358327
Kakaolu Toz İçecekler,01213,0.0013126230714797244,Toz kakao,0.0012182656567774229
Su,01221,0.30068009478632474,Su ve maden suyu,0.30058345166098704
Maden Suyu ve Sodası,01221,0.07207478179395092,Su ve maden suyu,0.07205161587012897
Gazoz Meyveli,01222,0.051925038172461274,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.058331256456219165
Kola,01222,0.1890299435087288,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.21235139155969204
Soğuk Çay,01222,0.023829769465985803,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.026769751991250406
Ayran,01222,0.04040251880938492,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.04538715365639066
Meyve Suyu,01223,0.11866645131852575,Meyve ve sebze suları,0.1069407647614508
Rakı,02110,0.08212823712159165,"Alkollü içecekler (rakı, viski, votka vb.)",0.0944525164931196
Viski,02110,0.026447351379472996,"Alkollü içecekler (rakı, viski, votka vb.)",0.030416078317505604
Şarap,02121,0.025123433722893718,Şarap,0.0251988198348264
Bira,02130,0.13050451412774022,Bira,0.1194810857470425
Sigaralar,02201,4.044669866550775,Sigaralar,3.485951499607506
Kaban (Erkek için),03121,0.02904106945477436,Erkek giyim,0.029106807247097168
Erkek Mont,03121,0.13071994129373835,Erkek giyim,0.13101584087714038
Takım Elbise (Erkek için),03121,0.14657378557024903,Erkek giyim,0.14690557214893513
Ceket (Erkek için),03121,0.0779442644699325,Erkek giyim,0.07812070025438106
Pantolon (Erkek için),03121,0.5405385249631628,Erkek giyim,0.5417620959253769
Kazak (Erkek için),03121,0.1138243131406974,Erkek giyim,0.11408196753149667
Gömlek (Erkek için),03121,0.2380900213340269,Erkek giyim,0.2386289654111713
Sweatshirt (Erkek için),03121,0.05662312776488042,Erkek giyim,0.056751300710421296
Tişört (Erkek için),03121,0.22738299825846003,Erkek giyim,0.22789770576055565
Eşofman (Erkek için),03121,0.07985025838288971,Erkek giyim,0.08003100860321723
Pijama (Erkek için),03121,0.02062814887690996,Erkek giyim,0.020674843058368603
İç Çamaşırı (Erkek için),03121,0.09540390427934224,Erkek giyim,0.09561986196148158
Çorap (Erkek için),03121,0.06421945010732469,Erkek giyim,0.06436481819994314
Pardösü (Kadın için),03122,0.035957356259961826,Kadın giyim,0.03955628584736639
Kaban (Kadın için),03122,0.09063920453199645,Kadın giyim,0.09971117613665641
Elbise (Kadın için),03122,0.3418356469773997,Kadın giyim,0.3760495756945787
Ceket (Kadın için),03122,0.06279216752906183,Kadın giyim,0.0690769618822339
Etek,03122,0.10621578709336704,Kadın giyim,0.11684680056544003
Pantolon (Kadın için),03122,0.348050964118398,Kadın giyim,0.38288697663373283
Hırka (Kadın için),03122,0.06284884040630226,Kadın giyim,0.0691393070812443
Kazak (Kadın için),03122,0.242324864974301,Kadın giyim,0.26657887630969257
Gömlek (Kadın için),03122,0.10474917279399405,Kadın giyim,0.11523339456210627
Sweatshirt (Kadın için),03122,0.06269282734498417,Kadın giyim,0.0689676788557206
Tişört (Kadın için),03122,0.23759619131591136,Kadın giyim,0.261376915254551
Eşofman (Kadın için),03122,0.08336623424061336,Kadın giyim,0.09171026278458955
Pijama (Kadın için),03122,0.0702442685224775,Kadın giyim,0.0772749349180665
İç Çamaşırı (Kadın için),03122,0.16384313965227043,Kadın giyim,0.18024200720873743
Çorap (Kadın için),03122,0.07077231667901239,Kadın giyim,0.07785583479485546
Kaban Anorak (Çocuk için),03123,0.007978622795304853,Çocuk giyim,0.009061271293101717
Elbise (Çocuk için),03123,0.052263306510756724,Çocuk giyim,0.05935510565146368
Pantolon (Çocuk için),03123,0.16188267670711115,Çocuk giyim,0.18384912896995345
Kazak (Çocuk için),03123,0.05379080165292476,Çocuk giyim,0.06108987219415882
Gömlek (Çocuk için),03123,0.02642363322146516,Çocuk giyim,0.030009152620927074
Sweatshirt (Çocuk için),03123,0.04644516501974052,Çocuk giyim,0.05274747926978125
Tişört (Çocuk için),03123,0.16324919729550508,Çocuk giyim,0.1854010777331326
Tayt (Çocuk için),03123,0.03203599588773744,Çocuk giyim,0.03638307729678659
Eşofman (Çocuk için),03123,0.11810981067079396,Çocuk giyim,0.13413656270286836
Pijama (Çocuk için),03123,0.030688683505203325,Çocuk giyim,0.034852943171147635
İç çamaşırı (Çocuk için),03123,0.03511440365604937,Çocuk giyim,0.03987920547017023
Çorap (Çocuk için),03123,0.0452166157819535,Çocuk giyim,0.05135222369421093
Bebek Tulumu,03124,0.033064936695791164,Bebek giyim,0.033824488536199335
Bebek Pijaması,03124,0.03237126819559626,Bebek giyim,0.0331148854164767
Bebek İç Çamaşırı,03124,0.04793918404968267,Bebek giyim,0.049040419954278776
Örgü Yünü,03130,0.06751539145096792,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.0686965741804016
Kravat,03130,0.011137209134180039,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.011332054765682276
Kemer,03130,0.03884468458960883,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.039524272896533874
Eşarp,03130,0.10541080055420264,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.10725496400248578
Giysi Tamir Ücretleri,03140,0.0637147862481233,Giyim eşyalarının temizlenmesi ve tadilatı,0.07029996208621123
Kuru Temizleme Ücreti,03140,0.030472708790878402,Giyim eşyalarının temizlenmesi ve tadilatı,0.033622184092723155
Ayakkabı (Erkek için),03211,0.20229592150140405,Erkek ayakkabısı,0.2319790440762939
Bot (Erkek için),03211,0.056943231200197786,Erkek ayakkabısı,0.06529857963718559
Spor Ayakkabısı (Erkek için),03211,0.26198133417205505,Erkek ayakkabısı,0.30042216875165045
Ayakkabı (Kadın için),03212,0.1591063798667294,Kadın ayakkabısı,0.19794519422713863
Bot (Kadın için),03212,0.09609156458044574,Kadın ayakkabısı,0.11954808745191871
Spor Ayakkabısı (Kadın için),03212,0.17021179758574076,Kadın ayakkabısı,0.21176151051316383
Terlik (Kadın için),03212,0.07034253436219191,Kadın ayakkabısı,0.08751356569369648
Ayakkabı (Çocuk için),03213,0.04539223167678167,Çocuk ve bebek ayakkabısı,0.05318760930016484
Bot (Çocuk için),03213,0.04848096835861721,Çocuk ve bebek ayakkabısı,0.05680678627816277
Spor Ayakkabısı (Çocuk için),03213,0.14143645710289976,Çocuk ve bebek ayakkabısı,0.16572586857491817
Ayakkabı Tamiri (Erkek),03220,0.00521805848729824,Ayakkabı bakım ve tamiri,0.004985062083147544
Ayakkabı Tamiri (Kadın),03220,0.0041148784776733095,Ayakkabı bakım ve tamiri,0.003931141194707095
Kiracı Tarafından Ödenen Gerçek Kira,04111,4.440049063549106,Gerçek kira,5.06378111338029
Badana ve Boya Malzemeleri,04310,0.4174258579640811,Konutun bakım ve onarımı için malzemeler,0.355753837039384
Yer ve Duvar Döşemesi,04310,0.26624380062134506,Konutun bakım ve onarımı için malzemeler,0.2269079690485838
Pencere (PVC),04310,0.7257769149591686,Konutun bakım ve onarımı için malzemeler,0.6185479826061675
Sıhhi Techizat Malzemeleri ,04310,0.4960305887648576,Konutun bakım ve onarımı için malzemeler,0.4227452178038942
Su Faturası,04410,1.921437335207883,Su (şebeke suyu),1.84856001975111
Elektrik Ücreti,04510,2.3168962576666354,Elektrik,1.7588905762935
Doğalgaz Ücreti,04521,1.5504724608820044,Doğalgaz ve ilgili abonelik ücretleri,2.538699716244943
Doğalgaz Abonman Ücreti,04521,0.020606964988309943,Doğalgaz ve ilgili abonelik ücretleri,0.03374126112419436
Tüp Gaz Ücreti,04522,0.783173126459457,Tüpgaz (ev tüpü),0.4911461339697572
Kömür Ücreti,04540,0.8922605734477044,"Katı yakıtlar (odun, kömür)",0.6341675946876422
Odun Ücreti,04540,0.2927340780531742,"Katı yakıtlar (odun, kömür)",0.20805857805053685
Tek Masa,05111,0.21723320094843013,Mutfak mobilyaları,0.16902010887479796
Tek Sandalye,05111,0.22872147358298395,Mutfak mobilyaları,0.17795865548276607
Yatak Odası Takımı,05112,0.4000043358876434,Yatak odası mobilyaları,0.3072947647239368
Yatak (Tek Kişilik),05112,0.0658899351511245,Yatak odası mobilyaları,0.05061853160918631
Yatak (Çift Kişilik),05112,0.129815180404944,Yatak odası mobilyaları,0.09972773227972645
Yatak Bazası,05112,0.12386416431372782,Yatak odası mobilyaları,0.09515599161206453
Genç Odası Takımı,05112,0.09822012264060331,Yatak odası mobilyaları,0.0754555057785132
Oturma Odası Takımı,05113,0.8950131530203277,Yemek odası ve oturma odası mobilyaları,0.6827794953309568
Yemek Odası Takımı,05113,0.183682890879551,Yemek odası ve oturma odası mobilyaları,0.1401263334649816
Sehpa,05113,0.026914507577098765,Yemek odası ve oturma odası mobilyaları,0.02053229479204685
Halı,05120,0.19547755673227965,Halı,0.145295870363348
Perde,05200,0.07386460467525346,Ev tekstili,0.058665426332311026
Stor Perde,05200,0.11259925365476983,Ev tekstili,0.08942961584102509
Tül,05200,0.06722344111208993,Ev tekstili,0.05339082026776213
Yatak Örtüsü,05200,0.05346771504746138,Ev tekstili,0.04246562087571452
Yorgan,05200,0.03472740950312799,Ev tekstili,0.027581522880610505
Battaniye,05200,0.023177985815803232,Ev tekstili,0.018408633274170954
Pike Takımı,05200,0.06030061849254699,Ev tekstili,0.04789251235446578
Nevresim Takımı,05200,0.16313106260061735,Ev tekstili,0.12956345434438346
Yastık,05200,0.03241200928561416,Ev tekstili,0.02574256440398195
Havlu,05200,0.06838761234778626,Ev tekstili,0.05431543906408827
No-Frost Buzdolabı,05311,0.5199484230743974,"Buzdolabı, derin dondurucu",0.49002494965414845
Derin Dondurucu,05311,0.2611766376465658,"Buzdolabı, derin dondurucu",0.24614570029244148
Çamaşır Makinesi,05312,0.47926742789031185,Çamaşır ve bulaşık makineleri,0.5292119203945981
Bulaşık Makinesi,05312,0.2233734845405422,Çamaşır ve bulaşık makineleri,0.24665125113820194
Ankastre Mikrodalga Fırın,05313,0.08668744101818428,"Fırın, ocak ve fırınlı ocak",0.08272992738714614
Ankastre Ocak (Set Üstü) ,05313,0.06154857037215615,"Fırın, ocak ve fırınlı ocak",0.058738713449887306
Ankastre Fırın,05313,0.03230028234684258,"Fırın, ocak ve fırınlı ocak",0.03082568803222675
Klima,05314,0.17752802480417226,Klima ve ısıtıcılar,0.13890593383135486
Soba,05314,0.0395442939135857,Klima ve ısıtıcılar,0.03094123916394235
Kombi,05314,0.22052802294812957,Klima ve ısıtıcılar,0.17255107185123406
Davlumbaz,05314,0.029035130067831216,Klima ve ısıtıcılar,0.022718395365665993
Elektrikli Süpürge,05315,0.27482204064866567,Diğer büyük ev aletleri (elektrikli süpürge vb.),0.2477738039594749
Elektrikli Kesici Aletler (Blender),05320,0.05913128253481364,Elektrikli küçük ev aletleri,0.06397068039388322
Elektrikli Küçük Ev Aletleri (Tost Makinası),05320,0.03733581408506554,Elektrikli küçük ev aletleri,0.04039143627021785
Sıcak İçecek Makinaları,05320,0.09340273568857513,Elektrikli küçük ev aletleri,0.10104696357854875
Ütü,05320,0.04259836637408706,Elektrikli küçük ev aletleri,0.04608468417734538
Ev Aletlerinin Tamiri (Malzeme ve İşçilik),05330,0.18478967928217602,Ev aletlerinin onarımı,0.1746859200442421
Cam Ev Eşyası,05401,0.09694642175362639,"Cam, porselen, seramik vb. mutfak eşyaları",0.10542490397651934
Porselen Ev Eşyası,05401,0.12459762795889286,"Cam, porselen, seramik vb. mutfak eşyaları",0.13549435580665983
"Kaşık, Çatal, Bıçak Takımı (Çelik)",05402,0.053378205145085,Çatal-bıçak takımı,0.0460895063827566
Çelik Mutfak Eşyaları,05403,0.16416419117364683,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",0.12349568583999189
Teflon Mutfak Eşyaları,05403,0.05212033460758994,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",0.039208529110747105
Plastik Mutfak Eşyaları,05403,0.10852962859155241,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",0.0816435108110527
Diğer Elektriksiz Ev Aletleri,05403,0.06904121692602087,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",0.05193758988821019
Pil,05521,0.03669141188978782,"Çeşitli küçük aksesuarlar (pil, ampul vb.)",0.03734370942995761
Ampul,05521,0.0732088521559043,"Çeşitli küçük aksesuarlar (pil, ampul vb.)",0.07451035438000489
"Kapı Aksesuarları (Anahtar, Kilit)",05522,0.04660551330277303,Evle ilgili küçük bakım-tamir mal ve hizmetleri,0.03867236117704574
Soba Aksesuar ve Malzemeleri,05522,0.04606703985148726,Evle ilgili küçük bakım-tamir mal ve hizmetleri,0.038225546233562765
Çamaşır İçin Temizlik ve Bakım Ürünleri,05611,0.6614109710591071,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",0.8796057683011248
Bulaşık İçin Temizlik ve Bakım Ürünleri,05611,0.3001981030184202,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",0.3992313321099422
Hijyenik Zeminler İçin Temizlik ve Bakım Ürünleri,05611,0.09447966637792671,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",0.12564783949700087
Her Türlü Ev Temizlik Aletleri,05612,0.04492178450794277,"Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",0.030249575003773285
Bulaşık Bezleri,05612,0.02253355036690688,"Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",0.015173714254484511
Saklama ve Muhafaza Malzemeleri,05612,0.09609979971832362,"Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",0.06471199065818564
Kağıt Sofra Malzemeleri,05612,0.16876716690309781,"Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",0.11364497491204797
Gündelikçi Ücreti,05621,0.4384557301150973,Ev içi hizmetler (gündelikçi ücreti),0.40134381321246
Halı Temizleme,05622,0.08472280828270275,Ev eşyalarının yıkanması ve temizlenmesi hizmetleri,0.0837257660790776
İlaçlar,06110,0.6741876334654788,İlaçlar,0.718052484084294
Diğer Sağlık Ürünleri,06120,0.09679526140822584,Diğer sağlık ürünleri (hasta bezi vb.),0.0967836779418261
Numaralı Gözlük Cam ve Çerçevesi,06131,0.15273150716637193,Gözlükler ve kontakt lensler,0.22881514187152077
Kontakt Lens,06131,0.023036125476084662,Gözlükler ve kontakt lensler,0.03451163690304384
Sağlık İle İlgili Araç Gereçler (Tansiyon Aleti),06132,0.09034809652926815,Diğer sağlık ekipmanları (tansiyon aleti vb.),0.119952641322943
Uzman Doktor Muayene Ücreti,06212,0.45882775336508463,"Ayakta tedavi hizmetleri (muayene ücreti, muayene katkı payı vb.)",0.5421457901854437
Diş Çekme Ücreti,06220,0.14092847669031222,Diş hekimliği hizmetleri,0.18512881620651503
Diş Dolgu Ücreti,06220,0.4748209205038995,Diş hekimliği hizmetleri,0.623742177502848
Röntgen Ücreti,06231,0.043291037386324574,"Tıbbi tahlil, analiz ve röntgen çekim hizmetleri",0.04847339352574716
Ultrason Ücreti,06231,0.05040923011661919,"Tıbbi tahlil, analiz ve röntgen çekim hizmetleri",0.0564437028146782
Emar Ücreti,06231,0.07289438729886986,"Tıbbi tahlil, analiz ve röntgen çekim hizmetleri",0.08162055091968158
Labaratuvar Tahlil Ücretleri,06231,0.244901729036946,"Tıbbi tahlil, analiz ve röntgen çekim hizmetleri",0.27421883612550807
Hastane Yatak Ücreti,06300,0.03625040245718021,Hastane hizmetleri,0.0356028508462236
Ameliyat Ücreti,06300,0.585887175887167,Hastane hizmetleri,0.575421300783223
Doğum Ücreti (Normal Doğum),06300,0.023386701982054687,Hastane hizmetleri,0.02296893843966836
Doğum Ücreti (Sezaryen),06300,0.0696624615862913,Hastane hizmetleri,0.06841806052683573
